Stnno,Year,Month,Day,Rainfall,Day mean wind,Solar Radioation ( MJm-2)
48650,2009,5,20,0.0,1.0,23.45
48650,2009,5,21,0.0,1.1,16.79
48650,2009,5,22,11.0,1.2,22.57
48650,2009,5,23,0.0,1.7,20.57
48650,2009,5,24,0.0,1.7,19.79
48650,2009,5,25,0.0,2.3,19.66
48650,2009,5,26,0.0,1.4,15.29
48650,2009,5,27,42.8,1.8,21.94
48650,2009,5,28,0.2,1.4,20.91
48650,2009,5,29,0.0,1.5,18.31
48650,2009,5,30,0.0,1.7,18.04
48650,2009,5,31,0.0,1.5,18.92
48650,2009,6,1,0.0,1.2,14.01
48650,2009,6,2,20.2,1.0,15.20
48650,2009,6,3,3.0,1.8,22.29
48650,2009,6,4,0.0,1.2,16.27
48650,2009,6,5,0.0,1.2,16.83
48650,2009,6,6,0.0,1.2,23.30
48650,2009,6,7,0.0,0.6,16.07
48650,2009,6,8,0.0,0.8,19.75
48650,2009,6,9,0.0,0.9,14.57
48650,2009,6,10,0.0,1.1,22.23
48650,2009,6,11,0.0,0.8,19.18
48650,2009,6,12,0.0,0.9,17.69
48650,2009,6,13,0.2,0.9,10.81
48650,2009,6,14,1.2,0.8,16.51
48650,2009,6,15,2.6,1.4,19.75
48650,2009,6,16,0.0,0.9,18.59
48650,2009,6,17,0.0,1.3,21.06
48650,2009,6,18,0.0,2.0,21.07
48650,2009,6,19,0.0,2.2,21.01
48650,2009,6,20,5.4,1.6,16.16
48650,2009,6,21,2.4,1.5,15.22
48650,2009,6,22,0.6,1.3,18.04
48650,2009,6,23,0.0,1.2,19.08
48650,2009,6,24,0.0,1.3,13.01
48650,2009,6,25,0.0,1.0,19.87
48650,2009,6,26,0.0,1.0,10.36
48650,2009,6,27,0.0,1.3,19.75
48650,2009,6,28,0.0,1.3,19.36
48650,2009,6,29,0.0,1.2,19.20
48650,2009,6,30,0.0,1.4,19.42
48650,2009,7,1,7.0,1.3,20.34
48650,2009,7,2,4.4,1.3,16.39
48650,2009,7,3,0.0,2.0,21.79
48650,2009,7,4,1.8,3.2,20.78
48650,2009,7,5,1.4,2.2,11.26
48650,2009,7,6,0.0,1.7,18.97
48650,2009,7,7,0.0,2.9,19.38
48650,2009,7,8,0.0,1.5,16.59
48650,2009,7,9,0.0,1.1,18.97
48650,2009,7,10,0.4,1.3,14.05
48650,2009,7,11,0.0,1.7,20.21
48650,2009,7,12,0.0,1.8,13.55
48650,2009,7,13,0.0,2.1,20.94
48650,2009,7,14,7.8,2.3,12.51
48650,2009,7,15,0.0,1.3,8.51
48650,2009,7,16,0.0,1.5,15.44
48650,2009,7,17,0.0,1.5,17.31
48650,2009,7,18,0.0,1.0,17.37
